# x_m,y_m
447.441492,-207.432717
447.822491,-206.508225
448.200399,-205.582490
448.575321,-204.655540
448.947349,-203.727425
449.316576,-202.798195
449.683095,-201.867899
450.047000,-200.936552
450.408313,-200.004207
450.767057,-199.070880
451.123257,-198.136589
451.476939,-197.201349
451.828139,-196.265147
452.176879,-195.328032
452.523194,-194.390023
452.867118,-193.451139
453.208688,-192.511397
453.547939,-191.570807
453.884903,-190.629395
454.219610,-189.687180
454.552093,-188.744179
454.882385,-187.800410
455.210520,-186.855881
455.536529,-185.910619
455.860446,-184.964640
456.182303,-184.017961
456.502135,-183.070599
456.819981,-182.122552
457.135864,-181.173854
457.449815,-180.224520
457.761864,-179.274566
458.072042,-178.324007
458.380391,-177.372820
458.686932,-176.421059
458.991700,-175.468738
459.294726,-174.515872
459.596047,-173.562475
459.895712,-172.608502
460.193721,-171.654026
460.490094,-170.699057
460.784848,-169.743607
461.078002,-168.787685
461.369607,-167.831181
461.659614,-166.874223
461.948010,-165.916814
462.234781,-164.958956
462.519914,-164.000650
462.803456,-163.041696
463.085333,-162.082302
463.365537,-161.122467
463.644055,-160.162193
463.920879,-159.201474
464.196056,-158.240126
464.469541,-157.278336
464.741349,-156.316100
465.011493,-155.353416
465.279990,-154.390280
465.546872,-153.426677
465.812225,-152.462645
466.076152,-151.498211
466.338755,-150.533401
466.600138,-149.568242
466.860379,-148.602837
467.119584,-147.637133
467.377838,-146.671157
467.635221,-145.704934
467.891817,-144.738493
468.147694,-143.771888
468.402918,-142.805108
468.657544,-141.838169
468.911624,-140.871090
469.165212,-139.903887
469.418361,-138.936542
469.671073,-137.969093
469.923352,-137.001543
470.175201,-136.033892
470.426626,-135.066142
470.677644,-134.098240
470.928246,-133.130244
471.178439,-132.162153
471.428228,-131.193969
471.677620,-130.225692
471.926632,-129.257277
472.175259,-128.288773
472.423506,-127.320181
472.671379,-126.351502
472.918884,-125.382738
473.166038,-124.413850
473.412836,-123.444880
473.659284,-122.475829
473.905388,-121.506698
474.151155,-120.537487
474.396597,-119.568168
474.641712,-118.598773
474.886508,-117.629303
475.130989,-116.659759
475.375163,-115.690143
475.619040,-114.720431
475.862620,-113.750649
476.105910,-112.780800
476.348916,-111.810885
476.591643,-110.840903
476.834102,-109.870837
477.076294,-108.900709
477.318226,-107.930520
477.559902,-106.960272
477.801329,-105.989964
478.042518,-105.019582
478.283469,-104.049146
478.524188,-103.078655
478.764682,-102.108113
479.004957,-101.137519
479.245021,-100.166858
479.484878,-99.196150
479.724533,-98.225396
479.963992,-97.254598
480.203260,-96.283755
480.442349,-95.312854
480.681259,-94.341912
480.919996,-93.370932
481.158566,-92.399915
481.396976,-91.428861
481.635235,-90.457755
481.873345,-89.486617
482.111311,-88.515447
482.349140,-87.544249
482.586838,-86.573022
482.824415,-85.601747
483.061872,-84.630448
483.299215,-83.659126
483.536450,-82.687783
483.773583,-81.716419
484.010625,-80.745012
484.247576,-79.773588
484.484441,-78.802150
484.721225,-77.830698
484.957935,-76.859232
485.194581,-75.887726
485.431162,-74.916210
485.667678,-73.944687
485.904136,-72.973157
486.140537,-72.001619
486.376894,-71.030041
486.613203,-70.058460
486.849467,-69.086876
487.085690,-68.115289
487.321877,-67.143699
487.558040,-66.172079
487.794181,-65.200459
488.030311,-64.228843
488.266438,-63.257231
488.502575,-62.285624
488.738734,-61.314009
488.974925,-60.342405
489.211162,-59.370814
489.447457,-58.399239
489.683824,-57.427682
489.920275,-56.456141
490.156812,-55.484622
490.393438,-54.513125
490.630156,-53.541651
490.866968,-52.570201
491.103876,-51.598772
491.340880,-50.627366
491.577978,-49.655985
491.815172,-48.684627
492.052460,-47.713292
492.289842,-46.741979
492.527316,-45.770689
492.764884,-44.799421
493.002543,-43.828177
493.240294,-42.856956
493.478136,-41.885755
493.716069,-40.914577
493.954092,-39.943422
494.192204,-38.972288
494.430405,-38.001177
494.668695,-37.030086
494.907072,-36.059017
495.145537,-35.087970
495.384089,-34.116945
495.622727,-33.145941
495.861451,-32.174957
496.100260,-31.203994
496.339154,-30.233052
496.578132,-29.262132
496.817194,-28.291232
497.056340,-27.320351
497.295567,-26.349492
497.534877,-25.378652
497.774269,-24.407834
498.013742,-23.437035
498.253295,-22.466255
498.492929,-21.495496
498.732641,-20.524756
498.972433,-19.554036
499.212304,-18.583336
499.452252,-17.612653
499.692278,-16.641990
499.932381,-15.671347
500.172560,-14.700723
500.412815,-13.730118
500.653145,-12.759530
500.893550,-11.788961
501.134030,-10.818411
501.374583,-9.847879
501.615209,-8.877366
501.855908,-7.906870
502.096679,-6.936392
502.337523,-5.965932
502.578440,-4.995491
502.819428,-4.025067
503.060489,-3.054661
503.301622,-2.084273
503.542828,-1.113903
503.784106,-0.143551
504.025456,0.826783
504.266878,1.797099
504.508373,2.767397
504.749941,3.737677
504.991581,4.707939
505.233293,5.678183
505.475078,6.648408
505.716935,7.618616
505.958865,8.588806
506.200867,9.558978
506.442942,10.529132
506.685089,11.499266
506.927309,12.469384
507.169602,13.439483
507.411967,14.409564
507.654404,15.379628
507.896914,16.349672
508.139497,17.319698
508.382152,18.289707
508.624880,19.259697
508.867681,20.229670
509.110554,21.199623
509.353499,22.169559
509.596518,23.139476
509.839609,24.109376
510.082773,25.079258
510.326010,26.049120
510.569319,27.018964
510.812701,27.988791
511.056156,28.958599
511.299683,29.928390
511.543283,30.898161
511.786956,31.867914
512.030702,32.837649
512.274521,33.807366
512.518413,34.777065
512.762377,35.746744
513.006414,36.716406
513.250524,37.686049
513.494707,38.655675
513.738963,39.625282
513.983291,40.594870
514.227693,41.564439
514.472167,42.533991
514.716715,43.503525
514.961335,44.473040
515.206028,45.442536
515.450794,46.412013
515.695633,47.381473
515.940546,48.350914
516.185531,49.320338
516.430589,50.289741
516.675720,51.259127
516.920925,52.228494
517.166202,53.197843
517.411553,54.167174
517.656976,55.136485
517.902472,56.105778
518.148042,57.075053
518.393685,58.044310
518.639401,59.013548
518.885190,59.982766
519.131052,60.951967
519.376987,61.921149
519.622996,62.890313
519.869078,63.859458
520.115233,64.828584
520.361461,65.797691
520.607762,66.766780
520.854137,67.735851
521.100585,68.704904
521.347106,69.673936
521.593700,70.642950
521.840368,71.611946
522.087109,72.580924
522.333924,73.549883
522.580811,74.518822
522.827772,75.487743
523.074807,76.456646
523.321914,77.425530
523.569096,78.394396
523.816350,79.363241
524.063678,80.332069
524.311079,81.300878
524.558554,82.269668
524.806102,83.238440
525.053724,84.207192
525.301419,85.175926
525.549187,86.144641
525.797029,87.113337
526.044945,88.082015
526.292934,89.050673
526.540997,90.019313
526.789133,90.987934
527.037343,91.956536
527.285626,92.925120
527.533983,93.893684
527.782413,94.862229
528.030917,95.830756
528.279495,96.799264
528.528146,97.767753
528.776871,98.736222
529.025669,99.704673
529.274542,100.673105
529.523488,101.641519
529.772508,102.609913
530.021601,103.578288
530.270768,104.546644
530.520008,105.514981
530.769323,106.483300
531.018711,107.451600
531.268173,108.419879
531.517709,109.388141
531.767318,110.356383
532.017002,111.324607
532.266759,112.292811
532.516590,113.260996
532.766495,114.229162
533.016474,115.197309
533.266526,116.165437
533.516653,117.133547
533.766853,118.101636
534.017127,119.069706
534.267475,120.037758
534.517898,121.005791
534.768394,121.973804
535.018963,122.941798
535.269607,123.909773
535.520325,124.877729
535.771116,125.845666
536.021981,126.813584
536.272919,127.781483
536.523931,128.749362
536.775016,129.717223
537.026175,130.685065
537.277407,131.652888
537.528711,132.620691
537.780089,133.588476
538.031540,134.556242
538.283063,135.523989
538.534660,136.491717
538.786329,137.459425
539.038071,138.427115
539.289885,139.394787
539.541772,140.362439
539.793731,141.330073
540.045762,142.297687
540.297866,143.265283
540.550042,144.232860
540.802290,145.200419
541.054610,146.167959
541.307001,147.135479
541.559465,148.102981
541.812000,149.070464
542.064607,150.037929
542.317285,151.005376
542.570035,151.972802
542.822857,152.940211
543.075749,153.907601
543.328713,154.874973
543.581748,155.842326
543.834854,156.809659
544.088031,157.776975
544.341279,158.744272
544.594598,159.711551
544.847988,160.678811
545.101448,161.646052
545.354979,162.613275
545.608580,163.580479
545.862252,164.547665
546.115994,165.514833
546.369807,166.481982
546.623689,167.449112
546.877642,168.416225
547.131665,169.383319
547.385757,170.350394
547.639920,171.317451
547.894152,172.284490
548.148454,173.251510
548.402825,174.218513
548.657266,175.185497
548.911777,176.152462
549.166357,177.119409
549.421006,178.086339
549.675724,179.053250
549.930512,180.020143
550.185368,180.987017
550.440294,181.953873
550.695288,182.920711
550.950351,183.887531
551.205483,184.854333
551.460683,185.821117
551.715952,186.787882
551.971290,187.754630
552.226696,188.721360
552.482170,189.688071
552.737712,190.654764
552.993323,191.621440
553.249001,192.588097
553.504748,193.554737
553.760562,194.521358
554.016445,195.487962
554.272395,196.454547
554.528412,197.421115
554.784497,198.387665
555.040650,199.354197
555.296870,200.320710
555.553157,201.287206
555.809511,202.253685
556.065932,203.220146
556.322418,204.186590
556.578970,205.153015
556.835587,206.119423
557.092267,207.085815
557.349011,208.052191
557.605816,209.018550
557.862682,209.984892
558.119607,210.951218
558.376591,211.917529
558.633633,212.883826
558.890732,213.850107
559.147885,214.816372
559.405092,215.782624
559.662353,216.748861
559.919667,217.715085
560.177031,218.681296
560.434444,219.647492
560.691907,220.613675
560.949417,221.579846
561.206975,222.546006
561.464577,223.512152
561.722224,224.478286
561.979915,225.444409
562.237648,226.410521
562.495422,227.376622
562.753236,228.342712
563.011089,229.308791
563.268980,230.274860
563.526908,231.240920
563.784872,232.206971
564.042871,233.173012
564.300903,234.139043
564.558968,235.105066
564.817064,236.071081
565.075191,237.037088
565.333346,238.003087
565.591530,238.969077
565.849741,239.935061
566.107978,240.901038
566.366241,241.867009
566.624527,242.832974
566.882835,243.798931
567.141165,244.764883
567.399516,245.730829
567.657887,246.696772
567.916276,247.662708
568.174682,248.628639
568.433104,249.594566
568.691542,250.560490
568.949994,251.526410
569.208459,252.492327
569.466935,253.458239
569.725422,254.424149
569.983918,255.390057
570.242423,256.355963
570.500934,257.321867
570.759452,258.287768
571.017973,259.253669
571.276499,260.219569
571.535027,261.185469
571.793555,262.151368
572.052083,263.117267
572.310610,264.083166
572.569135,265.049066
572.827655,266.014968
573.086171,266.980871
573.344680,267.946774
573.603182,268.912680
573.861676,269.878589
574.120159,270.844501
574.378632,271.810415
574.637093,272.776331
574.895540,273.742252
575.153972,274.708177
575.412389,275.674107
575.670789,276.640040
575.929171,277.605978
576.187533,278.571921
576.445875,279.537870
576.704195,280.503826
576.962493,281.469787
577.220765,282.435754
577.479013,283.401728
577.737234,284.367709
577.995428,285.333699
578.253592,286.299695
578.511727,287.265699
578.769829,288.231712
579.027900,289.197733
579.285937,290.163765
579.543939,291.129805
579.801905,292.095853
580.059833,293.061913
580.317723,294.027983
580.575573,294.994064
580.833383,295.960155
581.091150,296.926257
581.348874,297.892371
581.606553,298.858497
581.864187,299.824636
582.121774,300.790787
582.379313,301.756949
582.636802,302.723125
582.894241,303.689316
583.151629,304.655521
583.408963,305.621739
583.666243,306.587970
583.923468,307.554217
584.180637,308.520479
584.437748,309.486757
584.694800,310.453051
584.951791,311.419359
